stationid,lat,lon
68265,-20.4699993133545,-54.6800003051758
68598,-22.0300006866455,-42.3699989318848
68931,-25.5200004577637,-49.1699981689453
69597,-25.5200004577637,-54.5800018310547
70596,-21.2299995422363,-45
70929,-23.3799991607666,-51.1800003051758
71262,-3.15000009536743,-59.9799995422363
72594,-30,-51.1800003051758
72927,-8.05000019073486,-34.9199981689453
73260,-22.9200000762939,-43.1699981689453
73593,-13.0200004577637,-38.5200004577637
73926,-23.5200004577637,-46.6300010681152
75258,-20.3199996948242,-40.3300018310547
75591,4.40000009536743,18.5200004577637
75924,-4.25,15.2600002288818
76257,-23.4300003051758,-70.4300003051758
76590,-36.7700004577637,-73.0500030517578
76923,-56.5999984741211,-68.7200012207031
77589,-41.4199981689453,-73.0800018310547
77922,-53,-70.8499984741211
78588,-33.3699989318848,-70.7799987792969
78921,-33.0499992370605,-71.5999984741211
79254,41.1300010681152,122.980003356934
79587,39.9300003051758,116.279998779297
79920,43.9000015258789,125.220001220703
80253,28.2299995422363,112.870002746582
80586,30.6700000762939,104.019996643066
80919,29.5200004577637,106.480003356934
81252,38.9000015258789,121.629997253418
81918,25.8500003814697,114.949996948242
82251,23.1399993896484,113.319999694824
82917,20.0300006866455,110.349998474121
83250,30.2299995422363,120.169998168945
83583,45.75,126.769996643066
83916,40.8199996948242,111.680000305176
84249,22.3299999237061,114.180000305176
84915,39.7700004577637,98.4800033569336
85581,25.0200004577637,102.680000305176
86247,29.6700000762939,91.129997253418
86580,28.6000003814697,115.919998168945
86913,32,118.800003051758
87246,36.0699996948242,120.330001831055
87579,31.1700000762939,121.440002441406
87912,41.7700004577637,123.430000305176
88245,31.2999992370605,120.620002746582
88911,37.7799987792969,112.550003051758
89244,39.1800003051758,117.349998474121
89577,43.7799987792969,87.620002746582
89910,30.6200008392334,114.129997253418
90576,24.4799995422363,118.080001831055
91242,4,9.72999954223633
91575,3.82999992370605,11.5200004577637
91908,51.1199989318848,-114.019996643066
96570,49.1800003051758,-123.169998168945
96903,48.6500015258789,-123.430000305176
97902,49.9000015258789,-97.2300033569336
99234,47.6199989318848,-52.7299995422363
100566,66.5800018310547,-61.6199989318848
102231,72.6699981689453,-78
103563,43.1699981689453,-79.9300003051758
104229,43.0299987792969,-81.1500015258789
105894,45.3300018310547,-75.6699981689453
106893,43.6699981689453,-79.629997253418
109557,47.4199981689453,-61.7799987792969
111555,45.4799995422363,-73.7399978637695
112221,46.7999992370605,-71.379997253418
114219,52.1699981689453,-106.680000305176
114552,10.8999996185303,-74.7699966430664
114885,4.69999980926514,-74.129997253418
115218,3.88000011444092,-77.0699996948242
116217,-4.17000007629395,-69.9499969482422
116550,6.21999979019165,-75.5999984741211
116883,27.8199996948242,-17.8700008392334
117216,28.6200008392334,-17.75
117549,27.5599994659424,-15.3599996566772
117882,10.0100002288818,-84.2200012207031
118215,-2.76999998092651,-171.720001220703
118548,22.9799995422363,-82.4000015258789
118881,34.5800018310547,32.9799995422363
119214,34.8800010681152,33.6399993896484
119547,35.1599998474121,33.4099998474121
119880,34.7200012207031,32.4799995422363
120213,48.2000007629395,17.2000007629395
120546,49,16
120879,49,17
121212,50,12
121545,50,14
121878,11.5600004196167,43.1500015258789
122211,50,6
122544,54,13
122877,52.4799995422363,13.4099998474121
123543,50.8699989318848,7.17999982833862
123876,53.0499992370605,8.80000019073486
124542,50.9300003051758,6.94999980926514
124875,51,7
125208,51,13
125541,51,6
125874,51.2799987792969,6.78000020980835
126540,51,6
126873,50.0499992370605,8.60000038146973
127206,50,8
127872,50,8
128205,54,13
128538,51,11
128871,53.6300010681152,10
129204,52,9
129537,49,8
129870,54,7
130536,54,10
130869,47,9
131202,51.4199981689453,12.2299995422363
131535,52,14
132201,49,8
132534,48,11
132867,51,7
133533,53,7
133866,49,11
134199,47,10
134865,54,11
135198,50,8
135531,49,7
135864,54,9
136197,48.689998626709,9.22000026702881
136530,54,8
137196,51,7
137529,57.0999984741211,9.86999988555908
137862,55.6399993896484,12.6800003051758
138195,55.5200004577637,8.55000019073486
138528,55.4700012207031,10.3299999237061
139194,54.9700012207031,9.80000019073486
139527,55.7700004577637,10.5500001907349
139860,19.75,-70.5500030517578
140193,18.4300003051758,-69.6600036621094
140859,31.2000007629395,29.9500007629395
141525,30.1299991607666,31.3999996185303
141858,27.1499996185303,33.7299995422363
142191,25.6700000762939,32.7000007629395
142524,31.2700004577637,32.2999992370605
142857,29.9699993133545,32.5499992370605
143190,59.3499984741211,24.7999992370605
143523,-2.15000009536743,-79.879997253418
143856,-0.150000005960464,-78.4800033569336
144189,24.4400005340576,54.6500015258789
144522,24.25,55.5999984741211
145188,25.25,55.3400001525879
145854,25.6200008392334,55.9300003051758
146520,13.6999998092651,-89.120002746582
146853,8.97999954223633,38.810001373291
147186,62.0200004577637,-6.76999998092651
147519,4.82999992370605,-52.3699989318848
147852,60.3199996948242,24.9699993133545
